Kilowatt Case,114059,Counter-Strike 2,2.27
Dreams & Nightmares Case,220675,Counter-Strike 2,1.03
Mann Co. Supply Crate Key,52194,Team Fortress 2,2.0
Revolution Case,267740,Counter-Strike 2,0.42
Horizon Case,69956,Counter-Strike 2,0.86
Fracture Case,541880,Counter-Strike 2,0.3
Paris 2023 Contenders Sticker Capsule,298603,Counter-Strike 2,0.23
Recoil Case,445611,Counter-Strike 2,0.2
Operation Breakout Weapon Case,24028,Counter-Strike 2,6.81
Gamma 2 Case,46245,Counter-Strike 2,2.42
